rank,course_name,location,edition,source_url
1,Pine Valley Golf Club,"Pine Valley, NJ",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
2,Augusta National Golf Club,"Augusta, GA",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
3,Cypress Point Club,"Pebble Beach, CA",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
4,Shinnecock Hills Golf Club,"Southampton, NY",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
5,Oakmont Country Club,"Oakmont, PA",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
6,Merion Golf Club: East,"Ardmore, PA",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
7,National Golf Links of America,"Southampton, NY",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
8,Sand Hills Golf Club,"Mullen, NE",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
9,Pebble Beach Golf Links,"Pebble Beach, CA",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
10,Fishers Island Club,"Fishers Island, NY",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
11,Chicago Golf Club,"Wheaton, IL",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
12,Seminole Golf Club,"Juno Beach, FL",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
13,Winged Foot Golf Club: West,"Mamaroneck, NY",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
14,Friar's Head Golf Club,"Riverhead, NY",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
15,Crystal Downs Country Club,"Frankfort, MI",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
16,Los Angeles Country Club: North,"Los Angeles, CA",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
17,The Country Club: The Main Course,"Brookline, MA",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
18,Riviera Country Club,"Pacific Palisades, CA",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
19,Muirfield Village Golf Club,"Dublin, OH",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
20,Oakland Hills Country Club: South Course,"Bloomfield Hills, MI",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
21,Oak Hill Country Club: East,"Rochester, NY",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
22,Peachtree Golf Club,"Atlanta, GA",2025-26,https://www.golfdigest.com/story/americas-100-greatest-golf-courses-ranking
