rank,course_name,location,edition,source_url
1,Pine Valley,"Pine Valley, NJ",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
2,Cypress Point,"Pebble Beach, CA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
3,Augusta National,"Augusta, GA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
4,Shinnecock Hills,"Southampton, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
5,Pebble Beach,"Pebble Beach, CA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
6,Oakmont,"Oakmont, PA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
7,National Golf Links of America,"Southampton, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
8,Merion Golf Club,"Ardmore, PA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
9,Sand Hills,"Mullen, NE",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
10,Pinehurst – No 2,"Pinehurst, NC",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
11,Fishers Island,"Fishers Island, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
12,Seminole,"Juno Beach, FL",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
13,Winged Foot – West,"Mamaroneck, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
14,Pacific Dunes,"Bandon, OR",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
15,Crystal Downs,"Frankfort, MI",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
16,San Francisco GC,"San Francisco, CA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
17,Chicago GC,"Wheaton, IL",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
18,Prairie Dunes,"Hutchinson, KS",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
19,Riviera CC,"Pacific Palisades, CA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
20,LA Country Club – North,"Beavercreek, OH",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
21,Friar's Head,"Riverhead, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
22,Country Club – Brookline,"Pepper Pike, OH",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
23,Oakland Hills – South,"Bloomfield Hills, MI",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
24,Bethpage Black,"Farmingdale, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
25,Kiawah Island – Ocean,"Kiawah Island, SC",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
26,Garden City,"Garden City, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
27,Whistling Straits – Straits,"Sheboygan, WI",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
28,Muirfield Village,"Dublin, OH",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
29,TPC Sawgrass – Stadium,"Ponte Vedra Beach, FL",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
30,Shoreacres,"Lake Bluff, IL",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
31,The Camargo Club,"Cincinnati, OH",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
32,Baltusrol – Lower,"Springfield, NJ",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
33,The Olympic Club,"San Francisco, CA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
34,Southern Hills,"Tulsa, OK",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
35,Bandon Dunes,"Bandon, OR",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
36,Maidstone,"East Hampton, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
37,Oak Hill – East,"Rochester, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
38,Somerset Hills,"Bernardsville, NJ",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
39,The Golf Club,"New Albany, OH",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
40,Quaker Ridge,"Scarsdale, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
41,Ballyneal,"Holyoke, CO",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
42,Inverness,"Toledo, OH",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
43,The California Golf Club,"South San Francisco, CA",2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
