rank,course_name,location,edition,source_url
1,Pine Valley,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
2,Cypress Point,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
3,Augusta National,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
4,Shinnecock Hills,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
5,Pebble Beach,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
6,Oakmont,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
7,National Golf Links of America,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
8,Merion Golf Club,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
9,Sand Hills,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
10,Pinehurst – No 2,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
11,Fishers Island,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
12,Seminole,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
13,Winged Foot – West,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
14,Pacific Dunes,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
15,Crystal Downs,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
16,San Francisco GC,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
17,Chicago GC,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
18,Prairie Dunes,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
19,Riviera CC,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
20,LA Country Club – North,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
21,Friar's Head,,2015-16,https://www.planetgolf.com/rankings/usa/golf-magazine-usa-top-100/2015
