rank,course_name,location,edition,source_url
1,Pine Valley,"Pine Valley, NJ",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
2,Augusta National,"Augusta, GA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
3,Cypress Point,"Pebble Beach, CA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
4,Shinnecock Hills,"Southampton, NY",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
5,Oakmont,"Oakmont, PA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
6,Merion Golf Club,"Ardmore, PA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
7,Pebble Beach,"Pebble Beach, CA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
8,National Golf Links of America,"Southampton, NY",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
9,Sand Hills,"Mullen, NE",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
10,Winged Foot – West,"Mamaroneck, NY",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
11,Fishers Island,"Fishers Island, NY",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
12,Crystal Downs,"Frankfort, MI",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
13,Seminole,"Juno Beach, FL",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
14,Chicago GC,"Wheaton, IL",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
15,Muirfield Village,"Dublin, OH",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
16,Country Club – Brookline,"Pepper Pike, OH",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
17,Oakland Hills – South,"Bloomfield Hills, MI",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
18,Pacific Dunes,"Bandon, OR",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
19,Friar's Head,"Riverhead, NY",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
20,Oak Hill – East,"Rochester, NY",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
21,Kiawah Island – Ocean,"Kiawah Island, SC",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
22,Whistling Straits – Straits,"Sheboygan, WI",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
23,LA Country Club – North,"Beavercreek, OH",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
24,Riviera CC,"Pacific Palisades, CA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
25,Wade Hampton,"Cashiers, NC",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
26,Shadow Creek,"North Las Vegas, NV",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
